@RELATION Series

@ATTRIBUTE Nombre {The_Leftovers,Parks_and_Recreation,Breaking_Bad,BoJack_Horseman,Fleabag,The_Americans,Atlanta,Justified,Rectify,Better_Things,Better_Call_Saul,Terriers,Community,Twin_Peaks_The_Return,Game_of_Thrones,Fargo,Hannibal,Halt_and_Catch_Fire,Bobs_Burgers,Review,Orange_Is_the_New_Black,Crazy_Ex-Girlfriend,Brockmire,Brooklyn_Nine-Nine,Watchmen,Boardwalk_Empire,Veep,Broad_City,Treme,Enlightened,The_Good_Place,Catastrophe,Key_&_Peele,The_Deuce,The_Legend_of_Korra,Youre_the_Worst,Master_of_None,Pose,Girls,Steven_Universe,Mr_Robot,Transparent,Gravity_Falls,Jane_the_Virgin,Parenthood,New_Girl,Men_of_a_Certain_Age,Banshee,Baskets,The_Good_Wife}
@ATTRIBUTE 'Genero principal'{Fantasia,Comedia,Drama,Animacion,Accion,Thriller}
@ATTRIBUTE 'Pais de origen' {Estados_Unidos,Reino_Unido}
@ATTRIBUTE 'Cantidad de temporadas' INTEGER 
@ATTRIBUTE 'Cantidad de episodios' INTEGER 
@ATTRIBUTE 'Duracion del episodio' INTEGER 
@ATTRIBUTE 'Personaje principal' {Femenino,Masculino,Reparto_coral}
@ATTRIBUTE 'Canal o plataforma'{HBO,NBC,AMC,Netflix,BBC_Three,FX,Sundance_TV,Showtime,FOX,Comedy_Central,IFC,Channel_4,Nickelodeon,Cartoon_Network,USA_Network,Prime_Video,Disney_Channel,The_CW,TNT,Cinemax,CBS}
@ATTRIBUTE 'Camara setup'{Multicamara,Monocamara,Ninguna}
@ATTRIBUTE 'Año primera emision' INTEGER 
@ATTRIBUTE 'Año ultima emision' INTEGER 
@ATTRIBUTE 'Idioma original' {Ingles,Ingles_Apalache}
@ATTRIBUTE 'Puntuacion IMDb' NUMERIC
@ATTRIBUTE 'Clasificacion por edades' {G,PG,PG-13,R,NC-17}

@DATA
The_Legend_of_Korra,Animacion,Estados_Unidos,4,52,23,Reparto_coral,Nickelodeon,Ninguna,2012,2014,Ingles,8.4,G
Youre_the_Worst,Comedia,Estados_Unidos,5,62,30,Reparto_coral,FX,Monocamara,2014,2019,Ingles,8.1,NC-17
Master_of_None,Comedia,Estados_Unidos,2,20,30,Reparto_coral,Netflix,Monocamara,2015,?,Ingles,8.3,PG-13
Pose,Drama,Estados_Unidos,2,18,60,Reparto_coral,FX,Monocamara,2018,?,Ingles,8.6,R
Girls,Comedia,Estados_Unidos,6,62,30,Reparto_coral,HBO,Monocamara,2012,2017,Ingles,7.3,G
Steven_Universe,Animacion,Estados_Unidos,5,160,11,Reparto_coral,Cartoon_Network,Ninguna,2013,?,Ingles,8.3,G
Mr_Robot,Drama,Estados_Unidos,4,45,49,Reparto_coral,USA_Network,Monocamara,2015,2019,Ingles,8.5,R
Transparent,Comedia,Estados_Unidos,5,41,30,Reparto_coral,Prime_Video,Monocamara,2014,2019,Ingles,7.8,R
Gravity_Falls,Animacion,Estados_Unidos,2,40,23,Reparto_coral,Disney_Channel,Ninguna,2012,2016,Ingles,8.9,G
Jane_the_Virgin,Comedia,Estados_Unidos,5,100,60,Reparto_coral,The_CW,Monocamara,2014,2019,Ingles,7.8,PG-13
Parenthood,Comedia,Estados_Unidos,6,103,60,Reparto_coral,NBC,Monocamara,2010,2015,Ingles,8.2,G
New_Girl,Comedia,Estados_Unidos,7,146,22,Reparto_coral,FOX,Monocamara,2011,2018,Ingles,7.7,PG-13
Men_of_a_Certain_Age,Comedia,Estados_Unidos,2,22,60,Reparto_coral,TNT,Monocamara,2009,2011,Ingles,8,G
Banshee,Drama,Estados_Unidos,4,38,60,Reparto_coral,Cinemax,Monocamara,2013,2016,Ingles,8.4,NC-17
Baskets,Comedia,Estados_Unidos,3,30,30,Reparto_coral,FX,Monocamara,2016,2019,Ingles,7.5,G
The_Good_Wife,Drama,Estados_Unidos,7,156,45,Reparto_coral,CBS,Monocamara,2009,2016,Ingles,8.3,PG-13
