@relation 'NBA players perfomance'

@attribute 'Player name'{PJ-Tucker,Patty-Mills,Kemba-Walker,Tobias-Harris,Reggie-Jackson,Cory-Joseph,Justin-Holiday,Bradley-Beal,Mason-Plumlee,Kentavious-Caldwell-Pope,Joe-Ingles,Montrezl-Harrell,Buddy-Hield,DeAndre-Bembry,Bryn-Forbes,Bam-Adebayo,Monte-Morris,Royce-ONeale,Collin-Sexton,Mikal-Bridges,Shai-Gilgeous-Alexander,LaMarcus-Aldridge,Thaddeus-Young,D.J.-Augustin,Brook-Lopez,Al-Farouq-Aminu,Ed-Davis,Evan-Fournier,Terrense-Ross,Rudy-Gobert,Dario-Saric,Jordan-Clarkson,Bojan-Bogdanovic,DAngelo-Russell,Willie-Cauley-Stein,Malik-Beasley,Dorian-Finney-Smith,Ryan-Arcidiacono,DeAaron-Fox,Justin-Jackson,Trae-Young,Danny-Green,Nikola-Vucevic,Jae-Crowder,Damian-Lillard,Steven-Adams,Marcus-Smart,Nikola-Jokic,Jerami-Grant,Langston-Galloway,Kevon-Looney,Pascal-Siakam,Tomas-Satoransky,Jarrett-Allen,Miles-Bridges,Marco-Belinelli,Marc-Gasol,Mike-Scott,Andre-Drummond,Jeremy-Lamb,Dennis-Schroder,Kelly-Olynyk,Terry-Rozier,Ben-Simmons,Jayson-Tatum,Josh-Jackson,Landry-Shamet,Kevin-Durant,James-Harden,Eric-Bledsoe,Klay-Thompson,Patrick-Beverley,Aaron-Gordon,Jeff-Green,DeMar-DeRozan,Paul-George,Khris-Middleton,Harrison-Barnes,Nerlens-Noel,Alex-Len,Doug-McDermott,Dwight-Powell,Karl-Anthony-Towns,Nemanja-Bjelica,Jakob-Poeltl,Donovan-Mitchell,Zach-Collins,Vince-Carter,JJ-Redick,Darren-collison,Derrick-Favors,Austin-Rivers,Gorgui-Dieng,Joe-Harris,Cedi-Osman,T.J-McConnell,Davis-Bertans,Marvin-Williams,Lou-Williams,Nicolas-Batum}
@attribute 'Games played' numeric
@attribute 'Points per Game' numeric
@attribute 'Points' numeric
@attribute 'FG' numeric
@attribute 'ThreePFG'numeric
@attribute 'AssistsPerGame' numeric
@attribute 'ReboundingPerGame' numeric
@attribute 'StealsPerGame' numeric
@attribute 'BlocksPerGame' numeric


@data
Jerami-Grant,80,13.6,1090,0.497,0.392,1.0,5.2,0.8,1.3     
Langston-Galloway,80,8.4,672,0,388,0.355,1.1,2.1,0.5,0.1
Kevon-Looney,80,6.3,500,0.625,0.100,1.5,5.2,0.6,0.7     
Pascal-Siakam,80,16.9,1354,0.549,0.369,3.1,6.9,0.9,0.7    
Tomas-Satoransky,80,8.9,709,0.485,0.395,5,3.5,1,0.2 
Jarrett-Allen,80,10.9,873,0.590,0.133,1.4,8.4,0.5,1.5    
Miles-Bridges,80,7.5,597,0.464,0.325,95,1.2,4,0.7,0.6    
Marco-Belinelli,79,10.5,829,0.413,0.372,1.7,2.5,0.4,0.1  
Marc-Gasol,79,13.6,1071,0.448,0.363,4.4,7.9,1.1,1.1       
Mike-Scott,79,5.8,459,0.400,0.401,0.8,3.5,0.3,0.2
Andre-Drummond,79,17.3,1370,0.533,0.132,1.4,15.6,1.7,1.7
Jeremy-Lamb,79,15.3,1208,0.440,0.348,2.2,5.5,1.1,0.4    
Dennis-Schroder,79,15.5,1224,0.414,0.341,4.1,3.6,0.8,0.2
Kelly-Olynyk,79,10.0,787,0.463,0.354,1.8,4.7,0.7,0.5
Terry-Rozier,79,9.0,708,0.387,0.353,2.9,3.9,0.9,0.3 
Ben-Simmons,79,16.9,1337,0.563,0.00,7.7,8.8,1.4,0.8
Jayson-Tatum,79,15.7,1243,0.450,0.373,2.1,6,1.1,0.7
Josh-Jackson,79,11.5,910,0.413,0.324,2.3,4.4,0.9,0.7
Landry-Shamet,79,9.1,722,0.431,0.422,1.5,1.7,0.5,0.1
Kevin-Durant,78,26.0,2027,0.521,0.353,5.9,6.4,0.7,1.1
James-Harden,78,36.1,2818,0.442,0.368,7.5,6.6,2,0.7
Eric-Bledsoe,78,15.9,1241,0.484,0.329,5.5,4.6,1.5,0.4
Klay-Thompson,78,21.5,1680,0.467,0.402,2.4,3.8,1.1,0.6
Patrick-Beverley,78,7.6,596,0.407,0.397,3.8,5,0.6,0.6
Aaron-Gordon,78,16.0,1246,0.449,0.349,3.7,7.4,0.7,0.7
Jeff-Green,77,12.3,946,0.475,0.347,1.8,4,0.6,0.5
DeMar-DeRozan,77,21.2,1635,0.481,0.156,6.2,6,1.1,0.5
Paul-George,77,28.0,2159,0.438,0.386,4.1,8.2,2.2,0.4
Khris-Middleton,77,18.3,1407,0.441,0.378,4.3,6,1,0.1
Harrison-Barnes,77,16.4,1265,0.420,0.395,1.5,4.7,0.6,0.2  
Nerlens-Noel,77,4.9,378,0.587,-1,0.6,4.2,0.9,1.2
Alex-Len,77,11.1,854,0.494,0.363,1.1,5.5,0.4,0.9
Doug-McDermott,77,7.3,564,0.491,0.408,0.9,1.4,0.2,0.1  
Dwight-Powell,77,10.6,815,0.597,0.307,1.5,5.3,0.6,0.6  
Karl-Anthony-Towns,77,24.4,1880,0.518,0.400,3.4,12.4,0.9,1.6  
Nemanja-Bjelica,77,9.6,19.9,741,0.479,0.401,1.9,5.8,0.7,0.7 
Jakob-Poeltl,77,5.5,423,0.645,-1,1.2,5.3,0.4,0.9
Donovan-Mitchell,77,23.8,1829,0.432,0.362,4.2,4.1,1.4,0.4
Zach-Collins,77,6.6,512,0.473,0.331,0.9,4.2,0.3,0.9
Vince-Carter,76,7.4,562,0.419,0.389,1.1,2.6,0.6,0.4
JJ-Redick,76,18.1,1372,0.440,0.397,2.7,2.4,0.4,0.2
Darren-collison,76,11.2,853,0.467,0.407,6.0,3.1,1.4,0.1
Derrick-Favors,76,11.8,897,0.586,0.218,1.2,7.4,0.7,1.4          
Austin-Rivers,76,8.1,618,0.406,0.318,2.2,2.1,0.6,0.3
Gorgui-Dieng,76,6.4,485,0.501,0.339,0.9,4.1,0.6,0.5
Joe-Harris,76,13.7,1041,0.500,0.474,2.4,3.8,0.5,0.2 
Cedi-Osman,76,13.0,991,0.427,0.348,2.6,4.7,0.8,0.1
T.J-McConnell,76,6.4,483,0.525,0.333,3.4,2.3,1,0.2
Davis-Bertans,76,8.0,606,0.450,0.429,1.3,3.5,0.5,0.4
Marvin-Williams,75,10.1,756,0.422,0.366,1.2,5.4,0.9,0.8
Lou-Williams,75,20.0,1498,0.425,0.361,5.4,3,0.8,0.1
Nicolas-Batum,75,9.3,699,0.450,0.389,3.3,5.2,0.9,0.6
